	Unnamed: 0	topic_id	facet_id	facet	initial_request	question1	answer1	question2	answer2	question3	answer3
258	258	201	F0419	What software does a raspberry pi use?	I would like to know more about raspberry pi	would you like to know about raspberry pi camera	i would like to know about the software used in the raspberry pi camera	when was raspberry pi created	No, I want to know what softwere does it use.	would you like to buy raspberry pi computer	No, I want to know what software is used by a Raspberry Pi computer.
259	259	291	F0741	What are the skiing possibilities in the Sangre de Cristo mountains?	tell me about sangre de cristo mountains	are you interested in a map of the sangre de cristo mountains	no i just want to know where i can ski on them	would you like to see a map of sangre de cristo mountains	No, I want to know where I can ski in Sangre de Cristo	why are you interested in sangre de cristo mountains	I don't know.
260	260	230	F0531	What is the world's biggest dog?	tell me about world's biggest dog	which time period would you like results for the worlds biggest dog	the current time period please	are you interested in which dog breed is considered the biggest	Yes that is what I asked	would you like to see pictures of the biggest dogs	No, I need to know the actual name of the world's biggest dog.
261	261	299	F0760	Who sells ground beef with pink slime in it?	What is pink slime in ground beef	do you want to know what pink slime in ground beef is made of	no i just want to know places that sell it	are you interested in the video about pink slime in ground beef	no, I just want to know who sells it	would you like to see news reports regarding pink slime in ground beef	No just which places sell it.
262	262	208	F0446	Find a synopsis of Doctor Zhivago.	tell me more about Doctor Zhivago	do you want to know if doctor zhivago is a real person	yes i would like a synopsis of doctor zhivago	are you asking about the movie doctor zhivago	As I stated before	do you want to know which actor played doctor zhivago in the movie	No just a summary of the movie.
263	263	272	F0659	What do dreams about flying mean?	How can I interpret my dreams	do you want to know common ways to explain dreams	yes as long as i can focus in on flying in dreams	do you want to know what dreams mean	Dreams about flying is  what I am most interested in interpreting.	do you what to know about interpretation of decease in dreams	No, that is not something I am interested in.
264	264	279	F0694	How is game theory defined?	Tell me about game theory.	what type of game theory do you want to know about	the definition of game theory	are you interested in videos about game theory	No.	are you interested in the history of theories of evolution	No, I would like the definition of game theory, what is game theory?
265	265	245	F0572	What is the history of the Roosevelt Island tram?	roosevelt island	what conent would you like about roosevelt island	im interested in conent related to the history of the roosevelt island tram	are you interested in the history of roosevelt island	Yes, tell me some history about it.	would you like to visit roosevelt island	I just want to know about the history of the tram.
266	266	255	F0605	Show me teddy bears made by Gund.	Tell me about teddy bears.	are you interested in the history of teddy bears	no	would you like to know more about the cultural impact of teddy bears	No, i wold like to see teddy bears made by Gud.	do you want to know about the history of teddy bears	No, I just want to see ones manufactured by the Gund company.
267	267	290	F0735	What are the diseases of the Norway Spruce?	Tell me about norway spruce.	what about norway spruce are you looking for	what diseases can affect it	are you talking about a plant by the name of norway spruce	Yes Norway Spruce	are you interested in the tree by the name of norway spruce	Yes, what are the diseases that can affect the Norway Spruce?
268	268	281	F0707	How does a ketogenic diet help with weight loss?	What is a ketogenic diet?	are you interested in the benefits of a ketogenic feet	yes im looking for the ways in which keto feets are helpful	are you looking for diet information	Yes, I want to know how a ketogenic diet helps with weight loss.	do you want to know how to lose weight	Yes I would like to know how the keto diet helps me to lose weight.
269	269	273	F0666	What are the symptoms of Wilson's disease?	Give me information on wilson's disease.	are you interested in description of the disease	I don't understand your question.	would you like to hear about treatments for this disease	No, I want to know the main symptoms of Wilson's disease.	are you looking for the symptoms of this disease	Yes I am.
270	270	245	F0571	Find the Roosevelt Island tram schedule.	roosevelt island	are you interested in the history of roosevelt island	no just the tram schedule	do you want information about the roosevelt island tramway	Yes I do	would you like to visit roosevelt island	No, I would just like the tram schedule.
271	271	265	F0638	Where is tornado alley?	What were the worst tornadoes in the USA?	are you wondering where tornadoes are more likely	I don't understand your question.	are you interested in other categories of tornadoes	"No, I need to know where ""tornado alley"" is"	are there any specific media type on your mind shall i play a video of tornadoes	No, I would like you to show me where tornado alley is.
272	272	207	F0441	What are some lifestyle measures for managing BPH?	Tell me about bph treatment	are you looking for the bph treatment guidelines	yes specifically lifestyle measures for managing bph	would you like to hear about treatments	Just lifestyle changes I can take to manage it	do you want to know what causes bph	No, I would like to know about different kinds of treatments.
273	273	291	F0744	What hiking is available in the Sangre de Cristo mountains?	tell me about sangre de cristo mountains	would you like to see a map of sangre de cristo mountains	i want to see the hiking that is available there	why are you interested in sangre de cristo mountains	I want to know about the hiking trails.	do you need directions to sangre de cristo mountains	No, I would like to know the different types of hiking.
274	274	220	F0505	Who holds the NBA career scoring record?	I'm interested in NBA records	are you interested in nba records for this season or all of history	i want to know the nba records for all of history	is there a specific time period of nba records you are looking for	I would like the all time NBA scoring record.	what nba records are you interested in	The record for career scoring.
275	275	212	F0468	Find information on home theater room design.	Tell me about home theater systems.	would you like a list of stores that sell home theater systems	no i am looking for room designs for home theatres	would you like to buy a home theater system	I don't know	are you looking for reviews of the home theater systems	no, just info on home theatre designs
276	276	202	F0427	Find the home page of the USS Carl Vinson ombudsman.	Give me information on uss carl vinson.	would you like to know where the uss carl vinson is at right now	no i want to know its home page	would you like to know the home port of the uss carl vinson	No, the website home page for it	are you interested in how the uss carl vinson got its name	No just the web site for it.
277	277	258	F0616	I'm looking for engineering drawings of a hip roof.	Find information on hip roof	do you want to know where hip roofs are popular	no i need engineering drawings of a hip roof	do you want to know the common features of hip roofs	I don't know	would you like to see how a hip roof looks like	Yes, I would like to see enineering drawings.
278	278	235	F0541	What are the ham radio license classes?	How do you get a ham radio license?	would you the frequencies of various ham radio stations	i want to know more about the ham radio classes	do you want to know why its called ham radio	No. I just need to know about classes to take to learn ham radio.	would you like to learn about the popularity of ham radio	No. No. Give me a list of ham radio license classes on-line.
279	279	291	F0743	Find ranches for sale in the Sangre de Cristo mountains area.	tell me about sangre de cristo mountains	are you interested in a map of the sangre de cristo mountains	no i am not	why are you interested in sangre de cristo mountains	I want to see ranches for sale there.	would you like to see a map of sangre de cristo mountains	No just which ones are up for sale to buy.
280	280	288	F0720	Find information on the health of Fidel Castro.	I'm interested in Fidel Castro	are you wanting to read about fidel castro biography	no i would like to know what health condition fidel castro is in	are you interested in what fidel castro did for cuba	I don't know	do you need to know what fidel castro did for cuba	No just if he's healthy or not.
281	281	212	F0468	Find information on home theater room design.	Tell me about home theater systems.	would you like a list of stores that sell home theater systems	no i am looking for room designs for home theatres	would you like to buy a home theater system	I don't know	are you looking to compare price points for theater systems	No just the design and layouts of them.
282	282	270	F0656	What are examples of the philosophy of Sun Tzu?	I'm interested in sun tzu	are you interested in books written about sun tzu	im interested in learning about some reallife examples of how to apply sun tzus philosophy	would like to know the story behind sun tzu	Yes, I would like to know everything about sun tzu's background	want to see some examples of his philosophy	Yes, that would be perfect.
283	283	218	F0493	What solar water fountains are available for bird baths.	Tell me information about solar water fountains.	would you like to know how to build your own solar water fountain	no i would like to find solar water fountain bird baths	are you interested in how solar water fountains work	No.	do you want to learn more about solar water fountains	No, I want to know which solar water fountains can be used for bird baths
284	284	226	F0521	Find information about the Traverse City Cherry Festival.	Tell me about traverse city.	are you trying to find directions to traverse city	no im looking for information on the cherry festival in the city	do you want to know about the local government of traverse city	No, I want information on the date of the Traverse City Festival.	would you like to see a list of things to do in traverse city	Yes, for the city's Cherry Festival.
285	285	209	F0453	What education does one need to become a land surveyor?	I'm interested to know about land surveyor	are you thinking about a career as a land surveyor	possibly right now i want to know what schooling goes into becoming one	which type of land surveyor are you interested in	I don't know, what schooling do the different kinds have in common?	are you curious what a land surveyor does	Not at the moment, I just want to know what you have to study in order to become one.
286	286	213	F0477	Which exercises can bring relief from CTS?	I'm looking for information on carpal tunnel syndrome	are you interested in ways to relieve pain caused by carpal tunnel syndrome	what exercises can i perform to help relieve the symptoms associated with cts	would you like to know how to prevent carpal tunnel syndrome	No, I need exercise that relieve the pain from CTS	would you like to know about carpal tunnel syndrome treatment	Yes, I also need to know which exercises help with CTS.
287	287	247	F0579	"Find quotes from the ""Rain Man"" movie."	Tell me about rain main.	are you looking for a lyrics of the rain main song	no i want rain man film quotes	do you want to know who directed rain man	"No. I would like some lines/quotes from ""Rain Man"""	are you referring to the movie rain man	Yes, I need quotes from the movie Rain Man.
288	288	215	F0485	What are the dates for Maryland hunting season?	Info on maryland department of natural resources	do you want to know the location of maryland department of natural resources	no i interested the dates for the maryland hunting season	are you interested in any specific city in florida	Your query does not make sense.	what area is florida are you interested in	Hunting season dates for the state of maryland please.
289	289	244	F0569	Where is Fashion Square in Scottsdale?	old town scottsdale	would you like news about old town scottsdale	no i want to know where fashion square is	would you like to know about old town scottsdale	I want to know the location of  Fashion Square.	are you interested in old town scottsdale	I am interested specifically in Fashion Square located in Scottsdale.
290	290	207	F0440	What surgical options are used to treat BPH?	Tell me about bph treatment	are you looking for the bph treatment guidelines	yes and i would like to specifically know about surgical options to treat bph	do you want to know what causes bph	No, I want to now about the surgical options used in treating BPH.	are you looking for treatment options	Yes, specifically surgical treatment options.
291	291	299	F0763	What is ammonia used for in pink slime?	What is pink slime in ground beef	do you want to know what pink slime in ground beef is made of	no i want to know what ammonia is used for in pink slime	are you interested in the video about pink slime in ground beef	No I am interested in what kind of ammonia is used in it.	would you like to see news reports regarding pink slime in ground beef	No, I just need to know what the ammonia is used for in pink slime.
292	292	273	F0669	Find pictures of the Kayser-Fleischer ring that is a sign of Wilson's disease.	Give me information on wilson's disease.	do you want information on the treatment of wilsons disease	no	would you like to know about potential cures for wilsons disease	I want to see pictures of the Kayser-Fleischer ring that is a sign of Wilson Disease.	what would you like to know about wilsons disease	I need a picture of the Kayser-Fleischer ring, like I said earlier.
293	293	265	F0637	What were the ten worst tornadoes in the USA?	What were the worst tornadoes in the USA?	which tornados were the most devastating	tri state tornado is the most devastating tornado in the united state	are you interested in tornado disasters	Yes, tell me about the 10 worst ones in the US	are you interested in how tornadoes are formed	No, I just want to know which are the 10 worst tornadoes in the USA of all time.
294	294	276	F0681	How has African American music influenced history, including cultural history?	how has african american music influence history	would you like to learn more about how african american music influenced other genres of music	yes and culture at large	are you interested in how african american music influenced american culture	yes	would you like to search museums about african american music history	yes
295	295	206	F0435	Find information on how wind turbines work.	I'm looking for wind power	would you like to learn about wind power for homes	no i want to know how wind turbines work	are you looking for the definition of wind power	No.	do you want to know the basics of wind power	yes
296	296	273	F0668	What diet should a person with Wilson's disease follow?	Give me information on wilson's disease.	are you interested in description of the disease	I don't understand your question.	would you like to hear about treatments for this disease	I want to know about diets for the disease	are you looking for the symptoms of this disease	No. I need to know the required diet for someone with the disease.
297	297	206	F0432	Find information on wind power in the USA.	I'm looking for wind power	would you like to learn about wind power for homes	i want to learn about wind power in general so long as it is in the united states	want to know more about wind energy in the united states	Yes.	are you looking for the definition of wind power	No, I would like to know more about wind energy in the united states.
298	298	208	F0447	Who got an Academy Award nomination for Doctor Zhivago?	tell me more about Doctor Zhivago	are you asking about the movie doctor zhivago	yes tell me who got an academy award nomination from the movie	do you want to know which actor played doctor zhivago in the movie	No.	do you want to read reviews about dr zhivago	No just what actor won an Academy Award for the film.
299	299	244	F0568	Find restaurants in Old Town Scottsdale, AZ.	old town scottsdale	would you like news about old town scottsdale	i want restaurant information in the town	would you like to know about old town scottsdale	Yes, the restaurants that are there.	would you like to know the location of old town scottsdale	No, just the restaraunts that are there.
300	300	210	F0466	Where can I get a used golf gps device?	golf gps	would you like to buy a golf gps system	yes a used golf gps system	are you interested in a specific golf gps system	I don't know.	would you like to know how gps systems are used in golf	No, I would like to know where I can buy a used golf gps device.
301	301	202	F0426	What is the home port for the USS Carl Vinson?	Give me information on uss carl vinson.	where is basis of uss carl vilson	i do not know	are you interested in the uss carl vinsons dimensions	No, I want the home port.	where can i read about uss carl vilson	I don't know, maybe Wikipedia? I would like to know what port the Carl Vilson uses.
302	302	243	F0565	What does the Afghanistan flag's national emblem represent?	Find information about afghanistan flag	do you want to know how many square miles afghanistan is	I don't understand your question.	would you like to know where afghanistan is on the map	This is not related to my serch	are you looking for a map of afghanistan	No, I'm looking for an explanation of what the afghanistan flag represents to it's people.
303	303	254	F0598	What treatments are available for Barrett's Esophagus?	Tell me about barrett's esophagus	would you like to get information about getting diagnosed with barretts esophagus	no id like to know what the treatment options are	would you like to know about the symptoms of barretts esophagus	No, I need to know how to treat it.	would you like to hear about related conditions to barretts esophagus	No,  I would like to know about ways to treat it.
304	304	213	F0474	How is CTS treated?	I'm looking for information on carpal tunnel syndrome	are you interested in ways to relieve pain caused by carpal tunnel syndrome	yes	do you want to know the symptoms of carpal tunnel syndrome	I want to know about treatment options.	would you like to know how to prevent carpal tunnel syndrome	No, I'm more interested in how to treat it once you have it.
305	305	255	F0608	Where can I buy teddy bears wholesale?	Tell me about teddy bears.	do you want to know where to buy teddy bears	yes but i need to purchase them wholesale	are you looking for general information about teddy bears and are you looking to buy a teddy bear	What I said before about buying them wholesale.	are you interested in the history of teddy bears	No, I need a teddy bear wholesale website, please.
306	306	207	F0443	What are the causes of BPH?	Tell me about bph treatment	are you looking for the bph treatment guidelines	no i want to know which activities cause bhp	do you want to know what causes bph	Yes, what are the causes?	do you need pain medication to accompany your bph treatment	No, I would like to know what causes bph
307	307	216	F0489	What is the next movie Nicolas Cage will appear in?	which are famous movies where Nicolas Cage appeared?	would you like to see the top ten most popular nicolas cage movies	no just the one still to be released	would you like to see a list of nicolas cage movies	No just the title of his newest movie that has not been released yet.	quiz time which 2011 film featured nicolas cage	No just the new film he's in.
308	308	272	F0661	What do dreams about teeth mean?	How can I interpret my dreams	do you want to know common ways to explain dreams	no i want to know what dreams about teeth mean	do you want to know what dreams mean	Yes but I need to know about ones regarding teeth.	do you what to know about interpretation of decease in dreams	No, just about dreams that have teeth in them.
309	309	273	F0666	What are the symptoms of Wilson's disease?	Give me information on wilson's disease.	do you want information on the treatment of wilsons disease	no i need information on the symptoms	what can i tell you about wilsons disease	Just let me know the signs of it	do you want to know the symptoms of wilsons disease	Yes, I do.
310	310	279	F0693	What's the timeline for the evolution of game theory?	Tell me about game theory.	would you like to know the history of game theory	yes as well as the timeline	are you looking for the definition of game theory	yes and what the game thory states	what type of game theory do you want to know about	i don't know
311	311	218	F0493	What solar water fountains are available for bird baths.	Tell me information about solar water fountains.	are you looking for the price of solar water fountains	i would like to know which solar water fountains are useful for bird baths	what specific types of solar water fountains are you interested in	Please look at previous statement	which price range of solar water fountains are you looking for	I don't have a price in mind, just show me solar water fountains that are for bird baths.
312	312	247	F0576	"Where can I watch the full ""Rain Main"" movie online?"	Tell me about rain main.	are you referring to the movie rain man	yes i would like to watch the full movie	would you like a list of reviews for the film rain man	No I want links that will allow me to watch the full movie	do you want to know who directed rain man	No, i would like to know where I can watch the full movie.
313	313	220	F0504	Who holds the NBA record for most assists?	I'm interested in NBA records	are you interested in nba records for this season or all of history	i am interested in all history who holds the nba record for most assists	is there a specific time period of nba records you are looking for	Yes all history	what nba records are you interested in	I am interested in the all-time NBA record for assists.
314	314	226	F0519	Get information about Traverse City, Michigan real estate.	Tell me about traverse city.	are you trying to find directions to traverse city	no i need information about available real estate in this city	are you asking about traverse city in michigan	I am, show me the available real estate there.	what would you like to know about traverse city	I want more info on real estate there.
315	315	254	F0597	Find the causes and risk factors of Barrett's Esophagus.	Tell me about barrett's esophagus	would you like to get information about getting diagnosed with barretts esophagus	yes as well as risk factors that could lead to the condition	are you interested in signs you may have barretts esophagus	I want causes and conditions	do you want to learn more about the risk factors for barretts esophagus	yes and aslo prevention for barretts esophagus.
316	316	270	F0654	"How does Sun Tzu's ""The Art of War"" apply to business?"	I'm interested in sun tzu	are you interested in books written about sun tzu	no i want to know how to use sun tzus book the art of war in modern business	are you interested in learning more about sun tzus art of war	Yes but in regards to business	would you like to buy the book the art of war	No, I just want to know how its principles might be applied to business.
317	317	243	F0567	How can I purchase an Afghanistan flag?	Find information about afghanistan flag	would you like to know the origin of the afghanistan flag	no i want to know how i can go about purchasing one	are you interested in purchasing an afghanistan flag	Yes i am	what would you like to know about the afghanistan flag	nothing, I just want to buy one.
318	318	259	F0619	How and where do carpenter bees make their nests?	What is special about Carpenter bees?	do you need to know how to get rid of carpenterter bees	no i do not	are you simply seeking general information about carpenterter bees	I want to know about their nests. Where do they make them and by what means?	does carpenterter bee make a nest	I know they make them, but how do they make their nests?
319	319	277	F0683	"What are the names of the cast members of the movie ""Bewitched""?"	What is bewitched cast?	would you like to know where the cast of bewitched are now	no i want to know who was in the movie	would you like to know what the cast of bewitched looks like now	No, I'd like to know who the people were, who were in the cast of Bewitched.	would you like to know about the cast of this movie	Yes, specifically I would like to know their names.
320	320	259	F0620	How does one get rid of carpenter bees?	What is special about Carpenter bees?	what kind of sound carpenterter bees make	i am not interested in this information	do you need to know how to get rid of carpenterter bees	Find the answer to that question for me	are you looking for signs to identify if carpenterter bees are present	No just how to get rid of them.
321	321	265	F0641	What wind speed defines an F5 tornado?	What were the worst tornadoes in the USA?	which tornados were the most devastating	no i need general information about the wind speed that defines an f5 tornado	would like to know about where f5 tornadoes have struck	no the wind speed only	how many victims f5 tornado caused	I am unsure
322	322	233	F0537	What hair dye options should be considered during pregnancy?	Tell me about hair dye.	would you like to know about hair dye brands	yes but specifically i need to know which are safe to use during pregnancy	what hair dye brand will you use	I don't know.	are you interested in hair dye color shades	No just wondering what options can be used during pregnancy.
323	323	255	F0606	Find giant teddy bears.	Tell me about teddy bears.	are you interested in the history of teddy bears	no i want to know where to find the bears	would you like to know more about the cultural impact of teddy bears	I want to find a location where to buy giant teddy bear.	are you looking for general information about teddy bears and are you looking to buy a teddy bear	Yes just general information on them.
324	324	233	F0535	Find information on making homemade hair dye products.	Tell me about hair dye.	are you interested in a particular hair dye or a history of hair dye	give me some tutorials and tips on how to make it myself at home	what color of hair dye are you looking for	Any colors as long as I can make it at home	do you know what color of hair dye to use	I want to know how to make dyes at home.
325	325	206	F0431	What are the pros and cons of using wind power.	I'm looking for wind power	want to know more about wind energy in the united states	im more interested in its pros and cons	would you like to view the pros and cons of using wind power	Yes.	are you looking for the definition of wind power	No just the benefits and risks of using it.
326	326	225	F0517	Find information on Black Hills gold jewelry.	I'm looking for black and gold.	do you want to look at anything that has a black and gold background	find details about black hills gold jewelry for me	are you interested in seeing art that features the colors black and gold	No, I just need to know about the business called Black Hills Gold Jewelry	do you need directions to the nearest black and gold store	Yes, but I was asking about the directions to get to the Black Hills Gold Jewelry store.
327	327	247	F0578	"Find movie reviews of ""Rain Man""."	Tell me about rain main.	are you looking for a lyrics of the rain main song	no only movie reviews	would you like a list of reviews for the film rain man	yes i would like  a list of reviews for the film rain man	would you want movie reviews	"Yes, but I want reviews specifically for ""Rain Man."""
328	328	237	F0548	What are some of the causes for a lump in the throat?	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	i would like to know what are some of the causes for a lump in the throat	what type of medical information on lumps in the throat would you like	I want the causes.	do you wish to see possible causes of a lump in throat	Yes, show me possible causes.
329	329	268	F0644	How is running beneficial to the health of the human body?	What are the benefits of running?	would you like to see resources for retirement investing	I don't understand your question.	would you like to find retirement financial advisors	What are the physical benefits of running as exercise.	would you like to know more about a 403b retirement account	No, this is not what I want to know about.
330	330	299	F0759	What is pink slime?	What is pink slime in ground beef	do you want to know what pink slime in ground beef is made of	yes	would you be interested to know if the uk has pink slime in their ground beef	No.	are you wondering if mcdonalds has pink slime in their ground beef	No, I would like to know what is pink slime
331	331	215	F0483	How do you get a Maryland fishing license?	Info on maryland department of natural resources	do you want to know the location of maryland department of natural resources	no i just want to get a maryland fishing license	would you like to conact the maryland department of natural resources	No.	would you like more information on the wildlife the maryland department of natural resources manages	No I'm just trying to acquire a license to fish.
332	332	282	F0709	What interplanetary missions has NASA implemented or has planned?	Tell me about nasa interplanetary missions	are you interested in movie with interplanetary missions	no please show me what interplanetary missions nasa has planned	do you want to know who was involved in the missions	I would like all types of information, including who was involved.	are you interested in the history of these missions	Yes, I would like to know about the history of them, as well as future ones that are planned.
333	333	281	F0704	Find recipes for a ketogenic diet	What is a ketogenic diet?	are you interested in the benefits of a ketogenic feet	recipes	would you like to try some ketogenic feet recipes	No, not ketogenic feet.. just recipes that are ketogenic in general	are you interested in reading ketogenic feet reviews	Nope just what dishes I can make.
334	334	275	F0677	Get details on the bombing of the USS Cole.	Tell me about USS Cole.	are you interested in the history of the uss cole	i am looking for information on the bombing	are you interested in learning more of the uss cole bombing	Yes. As much details as you can spare	would you like to know how many deaths occured in the uss cole bombing	Yes, that is a good starting point. After that I'll need to learn more details.
335	335	208	F0445	What went into writing/publishing the book Doctor Zhivago?	tell me more about Doctor Zhivago	are you asking about the movie doctor zhivago	no i want to know what went into writing and publishing the book	do you want to read reviews about dr zhivago	No, I want to know how the author researched the book and how the author went about getting the book published.	are you referring to a different dr zhivago	No, I just need to know what the author did to resrarch the book and get it published.
336	336	208	F0446	Find a synopsis of Doctor Zhivago.	tell me more about Doctor Zhivago	are you asking about the movie doctor zhivago	yes i am	do you want to read reviews about dr zhivago	no, I just need an overall synopsis	would you like to ask dr zhivago a question	No thanks. I just want an overall synopsis of Dr Zhivago.
337	337	285	F0714	What are the effects of too much magnesium?	I'm interested in magnesium rich foods	would you like to know about magnesium rich foods that are kid friendly	no i want to know the consequences of excessive magnesium in the feet	do you want to find recipes to learn how to make magnesium rich foods	No.	are you interested in tips for including more magnesium rich foods into your daily feet	Nope just what can happen if I have too much of it.
338	338	255	F0604	Find information about teddy bear picnics.	Tell me about teddy bears.	are you interested in the history of teddy bears	yes i want to know the history of them	would you like to know more about the cultural impact of teddy bears	No find teddy bear picnics	do you want to know about the history of teddy bears	No, just find me teddy bear picnics.
339	339	294	F0751	Find pictures of flowering plants.	tell me more flowering plants	how big would you like your flowering plants to get	no	how much gardening do you want with your flowering plant	I'd like to see pictures of flowering plants.	do you want to know about distinctive features of a flowering plant	No, I would like to see pictures of flowering plants.
340	340	257	F0610	"Find summaries of ""Holes"" by Louis Sachar."	Find information about holes by louis sachar	would you like to know other books written by louis sachar	no thanks im looking for summeries of holes by louis sachar	do you want his biography	No.	are you referring to the author	I want the summary of the movie Holes.
341	341	299	F0762	Find pictures of pink slime.	What is pink slime in ground beef	do you want to know what a pink slime actually is	id like to see some pictures of it	do you want to know what pink slime in ground beef is made of	No.	are you interested in the video about pink slime in ground beef	No, I want pics of pink slime
342	342	222	F0509	Find information on male menopause medication.	I'm looking for information on male menopause	are you interested in the differences between male and female menopause	no i need information about male menopause medication only	are you interested to see male menopause jokes	No.	why are you interested in learning more about male menopause	Because I need the names of medications that are used for male menopause symptoms.
343	343	210	F0463	Is there a golf gps app for the Iphone?	golf gps	would you like to buy a golf gps system	no is there a golf gps app on the apple iphone	are you interested in a specific golf gps system	No, like I said before, I want to know if there is a golf gps app on the apple iphone.	are you looking for reviews of gps apps	No, I am looking for a golf gps app for the iphone
344	344	233	F0537	What hair dye options should be considered during pregnancy?	Tell me about hair dye.	are you interested in a particular hair dye or a history of hair dye	yes i am interested in one that might work during pregnancy	do you know what color of hair dye to use	I don't know	what color of hair dye are you looking for	I don't know.
345	345	253	F0596	Which antibiotics are used to treat a tooth abscess.	What treatments are available for a tooth abscess?	would you like to learn about home remedies for treating a tooth abscess	no i would like information about what antibiotics treat tooth abscesses	would you like to know the symptoms of a tooth abscess	I don't know	are you looking for treatments	No, I just want to know what antibiotics might be used for it.
346	346	290	F0737	Find pictures of Norway Spruce trees.	Tell me about norway spruce.	what about norway spruce are you looking for	i would like to see pictures	are you asking about a man named norway spruce	No, I want pictures of trees.	are you talking about a plant by the name of norway spruce	Yes, I would like to see images of the Norway Spruce Tree.
347	347	265	F0641	What wind speed defines an F5 tornado?	What were the worst tornadoes in the USA?	are you wondering where tornadoes are more likely	I don't understand your question.	are you interested in other categories of tornadoes	Yes, what constitures an F5 tornado?	are there any specific media type on your mind shall i play a video of tornadoes	No
348	348	274	F0671	Find information about golf schools.	Find information on golf instruction.	are you trying to find out how to become a golf instructor	i want to know about the golf school information	are you trying to find a golf instructor near you	Yes in the nearest town	do you want to find out how much a golf instructor charges	That and any other information available.
349	349	212	F0469	What home theater systems does Bose offer?	Tell me about home theater systems.	would you like a list of stores that sell home theater systems	no just a list of systems that bose offers	would you like to buy a home theater system	I want to see a list of home theater system Bose offers.	are you looking to purchase a home theater system	No just the offerings that Bose has.
350	350	210	F0465	Is there a golf gps system that can be used world wide?	golf gps	would you like to buy a golf gps system	no i want to know if there is a golf gps system that will work in europe asia and the middle east as well as north america	would you like to know how gps systems are used in golf	No I want to know which ones I can use around the world	are you interested in the history of gps systems in golf	No, I just want to know which ones I can use anywhere around the world.
351	351	272	F0661	What do dreams about teeth mean?	How can I interpret my dreams	would you like an app on dreams interpretation	no im looking for the explanation to dreams about teeth directly	do you want information about dreams interpretations about teeth falling out	I am not sure about the details.	are you interested in a book about dream interpretations	If I have dreams about teeth, what could that signify?
352	352	254	F0599	What is the recommended diet for Barrett's Esophagus?	Tell me about barrett's esophagus	would you like to get information about getting diagnosed with barretts esophagus	no i want information about a feet for barretts esophagus	would you like to know about the symptoms of barretts esophagus	I don't know	is this an emergency	I dont know.
353	353	226	F0519	Get information about Traverse City, Michigan real estate.	Tell me about traverse city.	are you trying to find directions to traverse city	no i need information about available real estate in this city	do you want to know about the local government of traverse city	No.	would you like to see a list of things to do in traverse city	No just general information on housing there.
354	354	300	F0773	Find a page that explains how to compute the mean of a set of numbers.	How to compute the mean of a set of numbers	are you looking for the us civil servant pay scale	I don't understand your question.	would you like to know more about the history behind the gs pay scale	No.	what gs pay scale are you looking for	No, I need a website that calculates the mean of a set of numbers.
355	355	213	F0479	What are the options for surgically correcting CTS?	I'm looking for information on carpal tunnel syndrome	are you interested in ways to relieve pain caused by carpal tunnel syndrome	no i want to know about surgery only for it	would you like to know how to prevent carpal tunnel syndrome	No, please find me surgery for carpal tunnel syndrome	would you like to know about carpal tunnel syndrome treatment	Just the surgery options for it.
356	356	218	F0495	Find solar water fountains for sale.	Tell me information about solar water fountains.	would you like to know how to build your own solar water fountain	no i want to buy one	are you interested in learning where to purchase solar water fountains	yeah give me a list please	are you looking for the price of solar water fountains	Yes, I need websites that sell solar water fountains.
357	357	297	F0754	How can one prevent altitude sickness?	Tell me about altitude sickness.	would you like to know how to reverse altitude sickness	yes how can one prevent altitude sickness	are you interested in at what height you can get altitude sicknes	No, I would like to get information on how to revent altitude sickness.	are you traveling	Potentially, so I need to know about how to prevent it.
358	358	226	F0521	Find information about the Traverse City Cherry Festival.	Tell me about traverse city.	are you trying to find directions to traverse city	no im looking for information on the cherry festival in the city	are you asking about traverse city in michigan	Yes! The festival in treverse city	what would you like to know about traverse city	The Traverse City festival like I said earlier.
359	359	275	F0678	What were the results of the investigation of the USS Cole bombing?	Tell me about USS Cole.	would you like to know where the uss cole is	i want to know about the results of the investigation of the uss cole bombing	would you like to know about the 2000 uss cole bombing	Yes, about what was found out during the investigation.	are you interested in learning more of the uss cole bombing	Yes, I need the results of the investigation.
360	360	233	F0536	Where can I find organic or chemical free hair dye products?	Tell me about hair dye.	would you like to know about hair dye brands	i would like to find organic hair dye products	would you like to know about hair dye colors	Yes, but only the chemical free organic ones.	are you interested in hair dye application or removal	I'm interested in chemical free hair dye application products.
361	361	207	F0444	What are the side effects of BPH treatments?	Tell me about bph treatment	are you looking for the bph treatment guidelines	yes that would be helpful it includes the side effects	do you want to know what causes bph	No, I want to know what would happen if I treated it- what side effects I'd experience	do you need pain medication to accompany your bph treatment	No, I would like to know the side affects of bph.
362	362	260	F0629	Find a time line of the American Revolution.	tell me more about the american revolutionary	what revolutionary general would you like to know about	i want to know about the timing of events of the american revolution not specific generals	do you want the american revolutionary war a specific person or a specific army	I want to know a general timeline of important events from the american revolutionary war.	are you looking for revolutionary war videos	No, I just want the timeline.
363	363	260	F0628	Find a list of the major battles of the American Revolution.	tell me more about the american revolutionary	what revolutionary general would you like to know about	none i need a list of the major battles of the american revolution	are you looking for revolutionary war videos	No, just a list	which viewpoint of the american revolutionary are you interested in	I want the major battles fought during that war.
